2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 604 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 604 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 605 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 605 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 606 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 606 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 607 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 607 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 608 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 608 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 609 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 609 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 610 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 610 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 611 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 611 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:00 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 612 has successfully logged in.
2019-12-09 21:21:00 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 612 entered the password incorrectly.
2019-12-09 21:21:00 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 613 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 613 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 614 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 614 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 615 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 615 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 616 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 616 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 617 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 617 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 618 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 618 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 619 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 619 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 620 has successfully logged in.
2019-12-09 21:21:01 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 620 entered the password incorrectly.
2019-12-09 21:21:01 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-12-09 21:21:01 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 621 has successfully logged in.
